time,x,y,z,vx,vy,vz
225.8,422647.72000603145,-5362949.347790728,3415362.237511336,-0.9353339617538242,8.21593984717533,12.514930395620182
225.82,422647.70129819727,-5362949.183464907,3415362.4878052473,-0.9354515270060578,8.217438239053587,12.513937798614522
225.84,422647.68258801283,-5362949.019109109,3415362.738079298,-0.9355690787701259,8.21893651244557,12.512945021171863
225.86,422647.66387547593,-5362948.854723333,3415362.9883334846,-0.9356866170443328,8.220434667329668,12.511952063306511
225.88,422647.6451605868,-5362948.690307585,3415363.2385678026,-0.9358041418269841,8.221932703684283,12.510958925032794
225.9,422647.6264433468,-5362948.525861865,3415363.488782251,-0.9359216531163852,8.223430621487815,12.509965606365023
225.92,422647.6077237559,-5362948.3613861725,3415363.7389768222,-0.9360391509108417,8.224928420718665,12.508972107317529
225.94,422647.58900181454,-5362948.196880515,3415363.9891515165,-0.9361566352086593,8.226426101355234,12.507978427904629
225.96,422647.5702775228,-5362948.032344892,3415364.2393063265,-0.936274106008144,8.227923663375927,12.506984568140656
225.98,422647.55155088083,-5362947.867779305,3415364.4894412523,-0.9363915633076019,8.229421106759153,12.505990528039938
226.0,422647.5328218879,-5362947.703183762,3415364.739556289,-0.93650900710534,8.230918431483321,12.504996307616812
226.02,422647.5140905461,-5362947.538558257,3415364.989651431,-0.9366264373996642,8.232415637526843,12.504001906885607
226.04,422647.4953568549,-5362947.373902799,3415365.2397266775,-0.9367438541888818,8.233912724868127,12.503007325860665
226.06,422647.47662081546,-5362947.209217387,3415365.4897820232,-0.9368612574712997,8.235409693485591,12.502012564556326
226.08,422647.4578824256,-5362947.044502027,3415365.7398174657,-0.9369786472452246,8.236906543357646,12.501017622986934
226.1,422647.4391416877,-5362946.879756715,3415365.989832999,-0.9370960235089644,8.23840327446271,12.500022501166834
226.12,422647.4203986023,-5362946.71498146,3415366.239828623,-0.9372133862608265,8.239899886779206,12.499027199110374
226.14,422647.40165316826,-5362946.55017626,3415366.4898043307,-0.9373307354991186,8.24139638028555,12.498031716831909
226.16,422647.3829053856,-5362946.385341119,3415366.739760121,-0.9374480712221488,8.242892754960165,12.497036054345788
226.18,422647.3641552571,-5362946.220476039,3415366.9896959886,-0.9375653934282249,8.244389010781475,12.496040211666365
226.2,422647.3454027807,-5362946.055581025,3415367.2396119316,-0.9376827021156556,8.24588514772791,12.495044188808006
226.22,422647.3266479574,-5362945.890656075,3415367.4895079457,-0.9377999972827497,8.247381165777892,12.494047985785071
226.24,422647.3078907864,-5362945.725701194,3415367.739384026,-0.937917278927815,8.24887706490985,12.493051602611922
226.26,422647.28913127014,-5362945.560716384,3415367.98924017,-0.9380345470491613,8.250372845102216,12.492055039302926
226.28,422647.2703694078,-5362945.395701646,3415368.2390763746,-0.9381518016450974,8.251868506333425,12.49105829587245
226.3,422647.25160519953,-5362945.230656986,3415368.4888926353,-0.9382690427139326,8.25336404858191,12.490061372334873
226.32,422647.2328386454,-5362945.065582401,3415368.7386889486,-0.9383862702539765,8.254859471826103,12.489064268704563
226.34,422647.2140697458,-5362944.900477899,3415368.988465311,-0.9385034842635388,8.256354776044448,12.488066984995902
226.36,422647.19529850077,-5362944.73534348,3415369.2382217194,-0.9386206847409294,8.257849961215381,12.487069521223264
226.38,422647.1765249116,-5362944.570179144,3415369.4879581695,-0.9387378716844583,8.259345027317343,12.486071877401036
226.4,422647.1577489775,-5362944.404984896,3415369.737674658,-0.9388550450924358,8.260839974328777,12.485074053543599
226.42,422647.1389706997,-5362944.239760738,3415369.987371182,-0.9389722049631726,8.262334802228127,12.484076049665344
226.44,422647.12019007734,-5362944.074506673,3415370.237047737,-0.9390893512949792,8.26382951099384,12.483077865780661
226.46,422647.1014071116,-5362943.909222702,3415370.486704319,-0.9392064840861666,8.265324100604365,12.482079501903941
226.48,422647.08262180287,-5362943.743908828,3415370.736340925,-0.9393236033350456,8.26681857103815,12.48108095804958
226.5,422647.0638341512,-5362943.578565054,3415370.9859575527,-0.9394407090399277,8.26831292227365,12.480082234231975
226.52,422647.04504415556,-5362943.41319138,3415371.2355541955,-0.9395578011991245,8.26980715428931,12.479083330465526
226.54,422647.02625181753,-5362943.247787812,3415371.485130851,-0.9396748798109474,8.271301267063595,12.47808424676464
226.56,422647.00745713717,-5362943.082354351,3415371.734687518,-0.9397919448737083,8.272795260574952,12.477084983143717
